City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Karratha,AU,84.94,clear sky,-20.7377,116.8463,ibis Styles Karratha
1,Rikitea,PF,73.53,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
5,Ribeira Brava,PT,71.71,overcast clouds,32.65,-17.0667,Hotel do Campo
6,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Pizarro,CO,76.15,light rain,4.9533,-77.366,Hotel Limonar
9,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Balikpapan,ID,81.59,scattered clouds,-1.2675,116.8289,ibis Balikpapan
17,Innisfail,AU,86.88,broken clouds,-17.5333,146.0333,Moondarra Motel
29,Mahebourg,MU,73.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
32,Waddan,LY,73.94,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
33,Souillac,MU,73.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Villa Enata
48,Cabo San Lucas,MX,81.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
49,Surt,LY,76.23,scattered clouds,31.2089,16.5887,الهادي ابوشعاله سرت
53,Oriximina,BR,78.76,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
59,Port Moresby,PG,89.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
60,Ponta Do Sol,PT,71.71,overcast clouds,32.6667,-17.1,Hotel do Campo
61,Tete,MZ,81.12,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
64,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
67,Saint-Philippe,RE,71.15,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
68,Alta Floresta,BR,71.94,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
69,Thap Than,TH,80.26,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
70,Carutapera,BR,78.71,few clouds,-1.195,-46.02,Lidera
75,Broken Hill,AU,71.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
79,Tahta,EG,71.92,clear sky,26.7693,31.5021,مصطفي عساف
80,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
81,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
87,Amahai,ID,86.27,broken clouds,-3.3333,128.9167,HOTEL ISABELA
100,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
103,Poum,NC,73.6,scattered clouds,-20.2333,164.0167,Gîte kajeon
105,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
106,Narasingapuram,IN,75.88,moderate rain,13.6167,79.3333,OYO 1843 Hotel PLR Kandy
107,Cockburn Town,TC,81.79,few clouds,21.4612,-71.1419,Osprey Beach Hotel
114,Grand Gaube,MU,73.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
119,Gusau,NG,78.6,clear sky,12.1628,6.6614,GUEST INN
122,Itarema,BR,79.3,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
124,Esperance,AU,84.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
125,Altamira,BR,74.91,scattered clouds,-3.2033,-52.2064,Requinte Hotel
126,Victoria,HK,82.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
130,George Town,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
132,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
136,Pakxe,LA,81.55,overcast clouds,15.1167,105.7833,Champasak Palace Hotel
138,Santo Tomas,PH,88.05,scattered clouds,14.1079,121.1414,Microtel by Wyndham Batangas
141,Omboue,GA,76.12,light rain,-1.5746,9.2618,Hotel Olako
148,Lorengau,PG,82.92,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
153,Naze,JP,72.52,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
154,Dingle,PH,84.49,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
155,Da Nang,VN,87.78,few clouds,16.0678,108.2208,Sun River Hotel
158,Bubaque,GW,82.4,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
159,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
160,Kota Bahru,MY,78.75,heavy intensity rain,6.1333,102.2386,Grand Riverview Hotel
163,Venancio Aires,BR,71.26,scattered clouds,-29.6064,-52.1919,Hotel Guest
167,Sampit,ID,87.82,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
170,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
176,Benghazi,LY,75.78,clear sky,32.1167,20.0667,Tibesti Hotel
188,Kavieng,PG,82.87,light rain,-2.5744,150.7967,Nusa Island Retreat
191,Arraial Do Cabo,BR,71.44,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
192,Sao Joao Da Barra,BR,70.75,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
194,Soyo,AO,76.59,overcast clouds,-6.1349,12.3689,Hotel Mpampa
195,Kendari,ID,86.61,overcast clouds,-3.945,122.4989,Hotel Wixel
197,Butaritari,KI,82.98,few clouds,3.0707,172.7902,Isles Sunset Lodge
200,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Poutur Pousada
201,Dibulla,CO,76.5,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
202,Jalu,LY,73.51,clear sky,29.0331,21.5482,صاحبة الفخامة
206,Kavaratti,IN,81.48,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
207,Faanui,PF,79.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
215,Qui Nhon,VN,80.19,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
216,Bundaberg,AU,83.21,broken clouds,-24.85,152.35,Takalvan Motel
221,Umm Lajj,SA,79.61,clear sky,25.0213,37.2685,Moon light Furnished Units
222,Teknaf,BD,76.42,overcast clouds,20.8624,92.3058,Forestry Guesthouse
223,Namatanai,PG,83.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
228,Bambous Virieux,MU,73.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
229,Rairangpur,IN,70.25,overcast clouds,22.2676,86.1751,Motu Hotel
230,Dicabisagan,PH,82.99,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
235,Keti Bandar,PK,78.31,clear sky,24.1447,67.4497,Haji laloo memon house
237,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
239,Maragogi,BR,77.77,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
243,Matara,LK,78.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
