City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Karratha,AU,-20.7377,116.8463,84.94,27,10,7.05,clear sky
1,Rikitea,PF,-23.1203,-134.9692,73.53,75,100,14.97,overcast clouds
2,Tuatapere,NZ,-46.1333,167.6833,63.82,49,49,7.31,scattered clouds
3,Havoysund,NO,70.9963,24.6622,36.48,86,100,15.59,overcast clouds
4,Avarua,CK,-21.2078,-159.775,78.85,69,21,14.97,few clouds
5,Ribeira Brava,PT,32.65,-17.0667,71.71,79,100,7.47,overcast clouds
6,Kapaa,US,22.0752,-159.319,82.38,75,1,4.0,light rain
7,Pizarro,CO,4.9533,-77.366,76.15,88,38,3.44,light rain
8,Shihezi,CN,44.3,86.0333,22.1,88,100,12.66,light snow
9,Vaini,TO,-21.2,-175.2,82.56,89,75,9.22,broken clouds
10,Balikpapan,ID,-1.2675,116.8289,81.59,89,40,4.61,scattered clouds
11,Roald,NO,62.5833,6.1333,43.16,93,40,3.44,scattered clouds
12,Albany,US,42.6001,-73.9662,38.41,81,12,3.96,few clouds
13,Yar-Sale,RU,66.8333,70.8333,25.68,89,100,12.28,overcast clouds
14,Port Elizabeth,ZA,-33.918,25.5701,57.49,62,0,6.91,clear sky
15,Sistranda,NO,63.7256,8.834,35.56,79,99,7.87,overcast clouds
16,Aktau,KZ,43.65,51.2,41.58,57,100,21.32,overcast clouds
17,Innisfail,AU,-17.5333,146.0333,86.88,53,57,12.08,broken clouds
18,Mataura,NZ,-46.1927,168.8643,63.48,29,31,4.03,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,42.46,70,20,18.41,light rain
20,Jiuquan,CN,39.7432,98.5174,46.26,21,0,5.88,clear sky
21,Port Lincoln,AU,-34.7333,135.8667,62.49,59,13,9.84,few clouds
22,Hobart,AU,-42.8794,147.3294,67.01,54,20,1.99,few clouds
23,Longyearbyen,SJ,78.2186,15.6401,17.8,75,100,6.55,overcast clouds
24,Mandla,IN,22.6,80.3833,64.69,61,85,2.55,overcast clouds
25,Provideniya,RU,64.3833,-173.3,15.49,89,100,10.83,overcast clouds
26,Narsaq,GL,60.9167,-46.05,34.02,99,100,4.47,light rain
27,Busselton,AU,-33.65,115.3333,66.04,60,98,4.38,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,59.9,81,39,9.57,scattered clouds
29,Mahebourg,MU,-20.4081,57.7,73.26,88,75,4.61,broken clouds
30,Kahului,US,20.8947,-156.47,82.42,74,40,19.57,scattered clouds
31,Tarko-Sale,RU,64.9225,77.785,21.33,95,100,14.67,light snow
32,Waddan,LY,29.1614,16.139,73.94,22,32,6.85,scattered clouds
33,Souillac,MU,-20.5167,57.5167,73.36,88,75,4.61,broken clouds
34,Lebu,CL,-37.6167,-73.65,49.32,84,11,6.22,few clouds
35,Tasiilaq,GL,65.6145,-37.6368,30.36,61,15,8.52,few clouds
36,Jamestown,US,42.097,-79.2353,36.84,86,90,4.61,overcast clouds
37,Turayf,SA,31.6725,38.6637,57.45,77,0,9.22,clear sky
38,Puerto Ayora,EC,-0.7393,-90.3518,69.71,82,70,6.33,broken clouds
39,Atuona,PF,-9.8,-139.0333,77.81,69,19,15.57,few clouds
40,Tiksi,RU,71.6872,128.8694,-12.17,98,88,8.41,overcast clouds
41,Vestmannaeyjar,IS,63.4427,-20.2734,44.87,77,100,19.66,overcast clouds
42,Ponta Delgada,PT,37.7333,-25.6667,67.5,88,75,14.97,broken clouds
43,Goundam,ML,16.4145,-3.6708,84.6,21,1,3.98,clear sky
44,Cherskiy,RU,68.75,161.3,-7.42,92,100,7.38,overcast clouds
45,Poli,TZ,-3.3333,36.8,60.3,91,91,2.53,overcast clouds
46,Kununurra,AU,-15.7667,128.7333,91.38,55,20,5.75,few clouds
47,Dikson,RU,73.5069,80.5464,21.0,92,100,16.46,overcast clouds
48,Cabo San Lucas,MX,22.8909,-109.9124,81.52,64,0,3.15,clear sky
49,Surt,LY,31.2089,16.5887,76.23,35,46,14.85,scattered clouds
50,Bredasdorp,ZA,-34.5322,20.0403,54.72,76,43,5.75,scattered clouds
51,Waipawa,NZ,-41.4122,175.5153,53.46,83,100,12.44,overcast clouds
52,Westport,US,41.1415,-73.3579,47.95,76,1,1.01,clear sky
53,Oriximina,BR,-1.7656,-55.8661,78.76,74,50,3.04,scattered clouds
